name,lat,lon,class,category,memo,station,url,price,style,capacity
済: フレンチおでん　ビストロバンバン,43.057753,141.346508,b,仏＋おでん,"3500円~, 30人を超えたら立食 (それはそれで)。",西８丁目,https://www.hotpepper.jp/strJ000861385/,3500,貸切: 30~40人 (2F貸切: 20人~,30
済: 北海道ろばた居心地,43.057281,141.351464,b,和 (海鮮),"3500円~, 貸切の割にMAX68人。",すすきの,https://www.hotpepper.jp/strJ001028582/,3500,貸切: 30人~ (フロア半貸切 25人~),68
確保: 梅酒 焼酎だいにんぐ かくれんぼ,43.058125,141.357314,b,和,"4000円~, 梅酒&焼酎が豊富。テーブル席で45人。",すすきの,https://www.hotpepper.jp/strJ000728152/,3500,半貸切: 20人~,70
済: 焼肉バル BAR carne alla griglia (カルネアラグリーリア),43.056616,141.35436,b,西,"3500円~, 内装がおしゃれ〜。",すすきの,https://www.hotpepper.jp/strJ001018019/,3500,貸切: 40人~,60
Bistro CinqCes ビストロサンクシー,43.057606,141.348112,b,仏 (肉),"3500~4000円, ワインが充実。",西８丁目,https://www.hotpepper.jp/strJ000707384/,3500,半貸切: 30人~,70
Oyster&Steak DINER es,43.066997,141.353188,b,洋,"3600~4000円, 貸切の割にMAX100人。やや品目少ないがアルコール揃いがいい。",札幌/大通り,https://www.hotpepper.jp/strJ000989880/,3600,貸切: 25人~,100
金丸農園 野菜居酒屋ルンゴカーニバル,43.069536,141.348381,b,洋,"3500~4000円, 誕生日ケーキサービスなどパリピ感があった。",JR札幌,https://www.hotpepper.jp/strJ001008723/,3500,半個室: 32人まで,80
カジュアル スパニッシュイタリアン エスパニョール,43.066069,141.35293,a,伊,"3100円~, 店名が迷走している。アルコールいまいちかも。",札幌/大通り,https://www.hotpepper.jp/strJ000747942/,3100,個室: 20~40人,100
肉バル ミートボーイN.Y,43.067035,141.353231,a,洋,"3000円~, チーズフォンデュ。",札幌/大通り,https://www.hotpepper.jp/strJ001009952/,3000,個室: 30~40人 ,90
イタリア居酒屋Bocco,43.053978,141.35501,a,伊,"3000円~, こじんまりっぽい。最大36人、18人向けのテーブル席 (訂正→席わかれそうです)。",すすきの,https://www.hotpepper.jp/strJ000707076/,3000,貸切: 6人〜,36
とりっくす,43.056776,141.354247,b,和 (博多),"3500円~, 当たり障りがないが少し小さい。",すすきの,https://www.hotpepper.jp/strJ000999523/,3500,個室: 20人まで,70
お鍋と炭焼き居酒屋  URARA,43.056192,141.352114,a,和 (焼き物),"3000円~, 焼き鳥・串焼き系の食べ放題。レビューを見るに対応は早いらしい。",すすきの,https://www.hotpepper.jp/strJ000717037/,3000,個室: 22人まで,75
蕎麦切り 黒むぎ,43.070994,141.348435,c,和 (海鮮),"4000円~, 非常によかったが落ち着いているのでNG。",JR札幌,https://www.hotpepper.jp/strJ001050459/,4000,貸切: 40人~,54
おはな (現ALWAYS HAWAII), 43.054551,141.356482, a, ハワイアン, "3000円, 2014忘年会", すすきの, https://www.hotpepper.jp/strJ000979528/, 3000, 不明, 0
いなせや (現まいど kuro 南１条店), 43.058547,141.350204, b, 和 (海鮮), "3500円, 90min 2016忘年会", すすきの, https://www.hotpepper.jp/strJ001226010/, 3500, 不明, 0
祐一郎商店 すすきの店, 43.053999,141.351517, c, 和 (海鮮), "4000円, 2017忘年会", すすきの, https://tabelog.com/hokkaido/A0101/A010103/1051310/, 4000, 不明, 0
しゃぶしゃぶ あぐら, 43.057676,141.35483, c, 和 (鍋), "4000円, 2018忘年会", すすきの, https://www.hotpepper.jp/strJ000030791/, 4000, 不明, 0
