region,year2010,year2015,year2020,year2025,year2030,year2035
千代田区,"819,247 ","812,360 ","808,899 ","801,905 ","787,796 ","756,727 "
中央区,"605,926 ","596,680 ","594,355 ","582,650 ","569,689 ","545,895 "
港区,"886,173 ","876,015 ","875,074 ","870,331 ","867,260 ","853,326 "
新宿区,"750,120 ","737,252 ","733,272 ","729,336 ","723,246 ","706,737 "
文京区,"345,423 ","348,781 ","352,262 ","348,230 ","341,752 ","333,696 "
台東区,"294,756 ","281,015 ","270,939 ","258,706 ","251,944 ","247,940 "
墨田区,"279,272 ","288,168 ","291,784 ","291,811 ","290,035 ","286,708 "
江東区,"548,976 ","582,394 ","601,116 ","607,792 ","609,125 ","601,294 "
品川区,"527,019 ","537,092 ","540,342 ","538,508 ","526,757 ","507,284 "
目黒区,"293,382 ","300,542 ","301,357 ","300,138 ","297,656 ","292,521 "
大田区,"684,451 ","697,736 ","699,846 ","696,626 ","688,977 ","677,001 "
世田谷区,"812,810 ","845,192 ","858,063 ","868,934 ","869,634 ","868,718 "
渋谷区,"520,698 ","520,088 ","517,991 ","491,289 ","475,889 ","456,602 "
中野区,"289,176 ","291,977 ","290,049 ","286,058 ","279,680 ","272,768 "
杉並区,"480,172 ","481,546 ","485,583 ","487,590 ","485,845 ","480,062 "
豊島区,"422,995 ","423,428 ","414,218 ","411,241 ","403,944 ","389,624 "
北区,"321,581 ","327,752 ","323,947 ","317,358 ","307,382 ","295,630 "
荒川区,"191,626 ","194,408 ","196,772 ","196,535 ","194,700 ","191,486 "
板橋区,"493,747 ","506,789 ","508,668 ","505,778 ","499,481 ","490,593 "
練馬区,"588,243 ","595,080 ","598,833 ","597,506 ","593,628 ","589,809 "
足立区,"608,632 ","626,882 ","629,288 ","623,646 ","612,553 ","596,676 "
葛飾区,"376,235 ","386,244 ","388,798 ","386,870 ","382,183 ","377,134 "
江戸川区,"570,877 ","581,392 ","583,458 ","587,764 ","588,677 ","587,119 "
八王子市,"578,039 ","577,838 ","575,102 ","567,946 ","556,813 ","540,215 "
立川市,"203,252 ","204,082 ","202,697 ","199,707 ","194,976 ","188,174 "
武蔵野市,"153,267 ","155,014 ","154,068 ","152,665 ","149,688 ","144,105 "
三鷹市,"166,284 ","167,692 ","166,439 ","164,318 ","161,848 ","158,513 "
青梅市,"127,303 ","125,634 ","123,572 ","120,559 ","116,776 ","111,941 "
府中市,"246,380 ","250,432 ","249,679 ","246,247 ","240,924 ","232,621 "
昭島市,"100,273 ","98,679 ","98,175 ","96,579 ","94,107 ","90,741 "
調布市,"195,986 ","199,618 ","199,467 ","197,501 ","194,473 ","190,046 "
町田市,"388,575 ","393,022 ","392,978 ","387,138 ","376,964 ","362,727 "
小金井市,"102,683 ","104,180 ","102,323 ","99,827 ","96,936 ","93,302 "
小平市,"166,106 ","169,526 ","168,568 ","166,714 ","164,304 ","160,097 "
日野市,"158,452 ","161,602 ","161,152 ","158,787 ","154,858 ","149,391 "
東村山市,"125,378 ","125,780 ","125,448 ","123,664 ","121,157 ","117,463 "
国分寺市,"100,798 ","101,962 ","101,247 ","99,959 ","98,410 ","95,928 "
国立市,"73,597 ","72,580 ","71,516 ","70,336 ","69,018 ","66,865 "
福生市,"51,582 ","50,171 ","49,112 ","47,827 ","46,556 ","44,766 "
狛江市,"58,983 ","60,468 ","60,408 ","60,238 ","59,964 ","59,194 "
東大和市,"65,959 ","67,311 ","66,954 ","66,290 ","65,417 ","64,100 "
清瀬市,"61,802 ","62,597 ","62,049 ","61,056 ","59,972 ","58,369 "
東久留米市,"93,335 ","94,224 ","94,182 ","92,722 ","89,830 ","86,210 "
武蔵村山市,"64,590 ","65,989 ","66,164 ","65,587 ","64,658 ","62,915 "
多摩市,"145,569 ","147,294 ","146,089 ","143,995 ","141,148 ","136,485 "
稲城市,"67,517 ","70,350 ","70,179 ","68,864 ","66,574 ","63,972 "
羽村市,"53,221 ","50,866 ","49,946 ","48,727 ","47,303 ","45,821 "
あきる野市,"70,137 ","71,014 ","71,107 ","70,256 ","68,778 ","66,713 "
西東京市,"157,250 ","162,146 ","161,612 ","158,973 ","155,017 ","149,837 "
瑞穂町,"36,272 ","35,497 ","34,287 ","32,946 ","31,405 ","29,816 "
日の出町,"15,959 ","17,147 ","17,009 ","16,051 ","14,797 ","12,916 "
檜原村,"2,297 ","1,972 ","1,766 ","1,591 ","1,445 ","1,325 "
奥多摩町,"5,747 ","5,002 ","4,356 ","3,761 ","3,225 ","2,765 "
