region,year1955,year1960,year1965,year1970,year1975,year1980,year1985,year1990,year1995,year2000,year2005,year2010
千代田区  ,"494,673 ","645,377 ","771,818 ","854,975 ","934,427 ","936,542 ","1,009,291 ","1,036,609 ","949,900 ","855,172 ","853,382 ","819,247 "
中央区,"448,510 ","555,559 ","615,161 ","630,923 ","661,465 ","656,029 ","693,960 ","748,288 ","700,865 ","648,366 ","647,733 ","605,926 "
港区,"380,542 ","454,165 ","536,429 ","600,775 ","674,821 ","706,427 ","819,495 ","883,952 ","849,786 ","837,658 ","908,940 ","886,173 "
新宿区,"377,346 ","472,372 ","540,694 ","592,167 ","653,256 ","688,601 ","756,362 ","817,095 ","806,095 ","798,611 ","770,094 ","750,120 "
文京区,"266,682 ","305,283 ","330,831 ","334,829 ","334,859 ","324,165 ","325,391 ","339,161 ","345,087 ","342,603 ","336,229 ","345,423 "
台東区,"358,604 ","398,527 ","397,374 ","366,958 ","355,084 ","337,509 ","332,227 ","347,738 ","342,681 ","317,700 ","303,522 ","294,756 "
墨田区,"329,851 ","367,210 ","357,996 ","320,125 ","290,162 ","272,678 ","269,029 ","267,595 ","270,261 ","257,972 ","262,514 ","279,272 "
江東区,"296,310 ","383,293 ","401,240 ","390,899 ","376,241 ","372,919 ","384,438 ","412,935 ","438,253 ","454,680 ","490,708 ","548,976 "
品川区,"365,802 ","428,532 ","436,847 ","429,203 ","413,274 ","401,839 ","419,261 ","455,826 ","462,609 ","478,529 ","505,034 ","527,019 "
目黒区,"218,644 ","259,846 ","274,400 ","276,106 ","273,755 ","265,370 ","265,786 ","267,235 ","269,947 ","267,322 ","271,320 ","293,382 "
大田区,"497,544 ","655,572 ","700,681 ","713,751 ","689,050 ","655,332 ","660,188 ","653,517 ","647,545 ","655,573 ","657,209 ","684,451 "
世田谷区,"426,397 ","522,835 ","617,939 ","665,451 ","694,901 ","686,659 ","683,539 ","671,354 ","688,081 ","706,522 ","736,040 ","812,810 "
渋谷区,"246,050 ","296,194 ","342,135 ","384,234 ","435,930 ","461,728 ","508,815 ","547,216 ","536,851 ","549,715 ","542,803 ","520,698 "
中野区,"226,494 ","267,322 ","286,992 ","289,675 ","291,903 ","272,369 ","267,237 ","257,848 ","261,174 ","272,250 ","285,636 ","289,176 "
杉並区,"319,683 ","369,915 ","406,819 ","419,823 ","429,838 ","420,260 ","417,998 ","412,985 ","411,526 ","427,162 ","439,379 ","480,172 "
豊島区,"287,616 ","345,000 ","376,273 ","379,004 ","373,548 ","368,817 ","383,925 ","425,691 ","424,002 ","408,802 ","378,475 ","422,995 "
北区,"310,704 ","365,830 ","400,911 ","385,109 ","378,164 ","353,925 ","338,454 ","322,529 ","318,682 ","308,653 ","307,317 ","321,581 "
荒川区,"247,190 ","277,452 ","273,680 ","241,822 ","214,572 ","195,086 ","185,355 ","178,567 ","175,354 ","176,358 ","184,021 ","191,626 "
板橋区,"283,537 ","377,410 ","439,150 ","447,739 ","465,281 ","462,807 ","466,179 ","461,364 ","461,963 ","470,917 ","456,425 ","493,747 "
練馬区,"154,462 ","239,543 ","339,426 ","418,131 ","446,554 ","442,139 ","451,541 ","461,017 ","476,777 ","507,286 ","530,628 ","588,243 "
足立区,"303,742 ","373,200 ","455,796 ","508,381 ","534,494 ","541,313 ","533,447 ","523,152 ","530,895 ","535,321 ","539,309 ","608,632 "
葛飾区,"260,010 ","333,710 ","387,091 ","404,282 ","385,231 ","364,945 ","354,432 ","345,385 ","347,157 ","345,365 ","343,039 ","376,235 "
江戸川区,"222,617 ","276,811 ","350,252 ","392,171 ","418,275 ","425,958 ","431,828 ","450,889 ","475,854 ","502,598 ","534,942 ","570,877 "
八王子市,"140,536 ","154,337 ","197,214 ","241,941 ","305,942 ","385,771 ","418,428 ","463,705 ","506,317 ","537,132 ","549,417 ","578,039 "
立川市,"87,585 ","90,347 ","107,715 ","125,142 ","141,312 ","147,166 ","152,834 ","164,788 ","175,523 ","182,157 ","193,465 ","203,252 "
武蔵野市,"83,316 ","101,594 ","118,662 ","125,161 ","136,054 ","140,035 ","143,994 ","152,586 ","153,379 ","152,425 ","154,448 ","153,267 "
三鷹市,"61,023 ","86,099 ","109,756 ","126,578 ","134,260 ","133,973 ","136,347 ","133,919 ","138,934 ","152,435 ","148,458 ","166,284 "
青梅市,"53,661 ","55,232 ","56,884 ","67,560 ","78,635 ","91,023 ","102,410 ","111,098 ","121,953 ","128,691 ","127,176 ","127,303 "
府中市,"58,569 ","79,095 ","113,833 ","148,167 ","166,626 ","176,585 ","188,753 ","195,642 ","210,521 ","221,456 ","236,133 ","246,380 "
昭島市,"35,436 ","39,900 ","54,323 ","68,578 ","76,124 ","81,886 ","88,501 ","92,256 ","95,218 ","96,560 ","100,508 ","100,273 "
調布市,"43,276 ","61,906 ","100,528 ","133,254 ","147,739 ","153,499 ","159,377 ","162,753 ","169,321 ","178,626 ","186,275 ","195,986 "
町田市,"52,791 ","59,154 ","96,858 ","166,453 ","220,899 ","260,327 ","279,624 ","298,974 ","315,906 ","330,651 ","364,091 ","388,575 "
小金井市,"28,008 ","38,165 ","64,870 ","78,216 ","82,585 ","83,693 ","84,641 ","82,560 ","89,545 ","93,522 ","95,195 ","102,683 "
小平市,"26,121 ","44,044 ","89,399 ","121,148 ","136,165 ","139,137 ","143,536 ","143,638 ","150,473 ","154,079 ","160,499 ","166,106 "
日野市,"26,416 ","39,582 ","62,342 ","91,620 ","114,269 ","126,916 ","133,061 ","138,546 ","142,774 ","144,265 ","154,114 ","158,452 "
東村山市,"20,215 ","32,524 ","56,098 ","73,935 ","88,935 ","93,701 ","95,490 ","100,671 ","104,038 ","111,681 ","115,046 ","125,378 "
国分寺市,"22,052 ","33,833 ","50,909 ","62,569 ","69,577 ","71,035 ","72,602 ","75,186 ","82,127 ","88,559 ","95,649 ","100,798 "
国立市,"23,888 ","29,470 ","39,369 ","53,482 ","58,073 ","58,381 ","59,675 ","62,919 ","65,464 ","71,484 ","71,295 ","73,597 "
福生市,"22,055 ","23,753 ","28,656 ","35,211 ","41,688 ","43,892 ","44,832 ","48,040 ","50,461 ","51,891 ","52,442 ","51,582 "
狛江市,"12,676 ","20,324 ","29,644 ","42,095 ","50,210 ","49,410 ","49,217 ","47,952 ","49,741 ","53,540 ","57,386 ","58,983 "
東大和市,"11,501 ","11,973 ","23,525 ","36,115 ","47,213 ","51,608 ","54,125 ","55,576 ","58,926 ","60,927 ","64,274 ","65,959 "
清瀬市,"14,074 ","15,510 ","27,249 ","39,450 ","48,319 ","50,138 ","51,076 ","51,225 ","53,263 ","57,390 ","60,733 ","61,802 "
東久留米市,"9,859 ","14,702 ","34,643 ","58,982 ","78,126 ","80,083 ","79,952 ","78,123 ","79,944 ","86,312 ","90,315 ","93,335 "
武蔵村山市,"10,779 ","10,408 ","16,625 ","38,735 ","48,047 ","55,575 ","58,093 ","58,084 ","59,270 ","59,053 ","59,591 ","64,590 "
多摩市,"6,553 ","8,004 ","13,780 ","22,555 ","50,938 ","72,591 ","88,725 ","109,413 ","121,918 ","126,570 ","137,622 ","145,569 "
稲城市,"8,901 ","9,077 ","15,916 ","25,792 ","36,103 ","40,553 ","42,030 ","46,499 ","49,117 ","55,521 ","58,913 ","67,517 "
羽村市,"8,305 ","8,377 ","12,490 ","21,522 ","31,119 ","40,547 ","47,003 ","50,283 ","52,603 ","54,044 ","55,966 ","53,221 "
あきる野市,"25,661 ","24,595 ","26,237 ","34,622 ","44,227 ","49,515 ","53,093 ","55,840 ","59,218 ","65,697 ","67,814 ","70,137 "
西東京市,"37,207 ","62,605 ","93,240 ","113,095 ","126,107 ","125,552 ","128,634 ","129,463 ","135,855 ","141,030 ","148,056 ","157,250 "
瑞穂町,"8,834 ","10,189 ","12,278 ","14,894 ","18,772 ","21,424 ","26,623 ","31,210 ","33,658 ","34,871 ","36,088 ","36,272 "
日の出町,"7,705 ","6,901 ","6,544 ","6,895 ","9,069 ","10,850 ","12,053 ","11,634 ","12,487 ","13,579 ","13,965 ","15,959 "
檜原村,"5,758 ","5,448 ","4,959 ","4,326 ","3,852 ","3,418 ","3,113 ","2,975 ","2,926 ","2,842 ","2,566 ","2,297 "
奥多摩町,"15,241 ","12,768 ","11,499 ","10,072 ","8,975 ","8,355 ","7,830 ","7,435 ","7,218 ","6,807 ","6,205 ","5,747 "
