time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2711;0.5249;
-199.5000;0.2711;0.5249;
-199.2000;0.2702;0.5249;
-198.9000;0.2702;0.5468;
-198.6000;0.2694;0.5030;
-198.3000;0.2702;0.5249;
-198.0000;0.2711;0.5249;
-197.7000;0.2702;0.4593;
-197.4000;0.2702;0.4593;
-197.1000;0.2702;0.4812;
-196.8000;0.2702;0.4812;
-196.5000;0.2711;0.5249;
-196.2000;0.2694;0.5030;
-195.9000;0.2694;0.5030;
-195.6000;0.2694;0.4812;
-195.3000;0.2702;0.5687;
-195.0000;0.2694;0.5468;
-194.7000;0.2702;0.5687;
-194.4000;0.2702;0.5249;
-194.1000;0.2719;0.5687;
-193.8000;0.2702;0.4812;
-193.5000;0.2711;0.5030;
-193.2000;0.2694;0.4812;
-192.9000;0.2702;0.5249;
-192.6000;0.2694;0.4593;
-192.3000;0.2702;0.5905;
-192.0000;0.2694;0.5468;
-191.7000;0.2702;0.5687;
-191.4000;0.2711;0.5249;
-191.1000;0.2702;0.5468;
-190.8000;0.2702;0.5030;
-190.5000;0.2711;0.5249;
-190.2000;0.2694;0.4593;
-189.9000;0.2694;0.5030;
-189.6000;0.2694;0.4812;
-189.3000;0.2702;0.5249;
-189.0000;0.2711;0.5249;
-188.7000;0.2694;0.4812;
-188.4000;0.2719;0.5249;
-188.1000;0.2694;0.5030;
-187.8000;0.2694;0.5249;
-187.5000;0.2711;0.5249;
-187.2000;0.2694;0.5249;
-186.9000;0.2702;0.5249;
-186.6000;0.2694;0.5249;
-186.3000;0.2719;0.5468;
-186.0000;0.2702;0.5468;
-185.7000;0.2694;0.5249;
-185.4000;0.2694;0.5030;
-185.1000;0.2694;0.5249;
-184.8000;0.2686;0.5030;
-184.5000;0.2711;0.5468;
-184.2000;0.2686;0.5249;
-183.9000;0.2702;0.5468;
-183.6000;0.2694;0.5249;
-183.3000;0.2711;0.5687;
-183.0000;0.2694;0.5249;
-182.7000;0.2702;0.5249;
-182.4000;0.2702;0.5030;
-182.1000;0.2711;0.5249;
-181.8000;0.2694;0.5249;
-181.5000;0.2711;0.5030;
-181.2000;0.2686;0.4593;
-180.9000;0.2702;0.5249;
-180.6000;0.2702;0.4593;
-180.3000;0.2711;0.5468;
-180.0000;0.2711;0.5249;
-179.7000;0.2702;0.4812;
-179.4000;0.2694;0.5468;
-179.1000;0.2702;0.5030;
-178.8000;0.2694;0.4812;
-178.5000;0.2711;0.5468;
-178.2000;0.2686;0.5468;
-177.9000;0.2711;0.5030;
-177.6000;0.2686;0.4593;
-177.3000;0.2711;0.5468;
-177.0000;0.2711;0.5249;
-176.7000;0.2702;0.5249;
-176.4000;0.2711;0.5030;
-176.1000;0.2711;0.4812;
-175.8000;0.2686;0.4812;
-175.5000;0.2711;0.5468;
-175.2000;0.2694;0.5030;
-174.9000;0.2702;0.5249;
-174.6000;0.2686;0.5468;
-174.3000;0.2719;0.6562;
-174.0000;0.2711;0.6124;
-173.7000;0.2686;0.5687;
-173.4000;0.2694;0.6124;
-173.1000;0.2711;0.6343;
-172.8000;0.2694;0.5687;
-172.5000;0.2711;0.5468;
