MC5;
time/s;Fluo/V;P700 deltaI/I x10³;
0.000;-0.0085;0.0779;
0.020;-0.0085;0.1148;
0.040;0.0050;0.0492;
0.060;0.0050;0.0041;
0.080;-0.0050;0.0205;
0.100;-0.0050;0.0410;
0.120;-0.0050;0.0164;
0.140;-0.0017;-0.0123;
0.160;-0.0017;0.0287;
0.180;0.0066;0.0246;
0.200;0.0066;0.0328;
0.220;0.0066;-0.0205;
0.240;0.0082;0.0287;
0.260;0.0082;0.0164;
0.280;0.0038;0.0123;
0.300;0.0038;0.0164;
0.320;0.0038;0.0164;
0.340;-0.0107;0.0615;
0.360;-0.0107;-0.0041;
0.380;-0.0136;-0.0082;
0.400;-0.0136;0.0533;
0.420;-0.0136;-0.0451;
0.440;0.0014;0.0328;
0.460;0.0014;-0.0082;
0.480;0.0072;0.0369;
0.500;0.0072;0.0451;
0.520;0.0072;-0.0492;
0.540;0.0011;0.0082;
0.560;0.0011;0.0779;
0.580;0.0055;0.0000;
0.600;0.0055;-0.0041;
0.620;0.0055;-0.0287;
0.640;0.0012;-0.0246;
0.660;0.0012;0.0738;
0.680;0.0056;0.0615;
0.700;0.0056;0.0656;
0.720;0.0056;-0.0328;
0.740;-0.0038;0.0410;
0.760;-0.0038;0.0369;
0.780;0.0092;0.0369;
0.800;0.0092;0.0902;
0.820;0.0092;-0.0123;
0.840;0.0023;-0.0041;
0.860;0.0023;0.0123;
0.880;-0.0043;0.0246;
0.900;-0.0043;0.0369;
0.920;-0.0043;-0.0451;
0.940;0.0056;0.0615;
0.960;0.0056;-0.0123;
0.980;-0.0066;-0.0164;
1.000;-0.0066;-0.0082;
1.020;-0.0066;-0.0041;
1.040;0.0002;-0.0205;
1.060;0.0002;0.0738;
1.080;0.0052;-0.0287;
1.100;0.0052;0.0287;
1.120;0.0052;0.0369;
1.140;0.0009;0.0410;
1.160;0.0009;0.0410;
1.180;0.0020;-0.0123;
1.200;0.0020;-0.0123;
1.220;0.0020;-0.0205;
1.240;0.0078;0.0656;
1.260;0.0078;0.0287;
1.280;0.0060;0.0369;
1.300;0.0060;0.0000;
1.320;0.0060;0.0451;
1.340;0.0024;0.0656;
1.360;0.0024;0.0041;
1.380;0.0037;-0.0246;
1.400;0.0037;0.0000;
1.420;0.0037;-0.0082;
1.440;0.0116;0.0574;
1.460;0.0116;-0.0123;
1.480;-0.0003;-0.0410;
1.500;-0.0003;-0.0164;
1.520;-0.0003;0.0656;
1.540;0.0099;0.0451;
1.560;0.0099;0.0369;
1.580;-0.0038;-0.0451;
1.600;-0.0038;0.0082;
1.620;-0.0038;0.0533;
1.640;0.0073;0.0533;
1.660;0.0073;0.0369;
1.680;-0.0026;0.0328;
1.700;-0.0026;-0.0205;
1.720;-0.0026;0.0082;
1.740;0.0067;0.0123;
1.760;0.0067;0.0861;
1.780;0.0020;-0.0123;
1.800;0.0020;0.0287;
1.820;0.0020;-0.0410;
1.840;0.0024;-0.0123;
1.860;0.0024;-0.0410;
1.880;0.0063;0.0533;
1.900;0.0063;0.0451;
1.920;0.0063;0.0164;
1.940;0.0084;0.0205;
1.960;0.0084;-0.0123;
1.980;0.0078;0.0041;
2.000;0.0078;0.0410;
2.020;0.0078;0.0000;
2.040;-0.0015;-0.0451;
2.060;-0.0015;-0.0287;
2.080;0.0009;0.0123;
2.100;0.0009;0.0697;
2.120;0.0009;0.0574;
2.140;-0.0003;0.0000;
2.160;-0.0003;-0.0041;
2.180;-0.0017;0.0533;
2.200;-0.0017;0.0533;
2.220;-0.0017;0.0246;
2.240;0.0050;0.0164;
2.260;0.0050;0.0492;
2.280;-0.0027;0.0000;
2.300;-0.0027;0.0574;
2.320;-0.0027;-0.0082;
2.340;-0.0005;0.0246;
2.360;-0.0005;0.0123;
2.380;0.0040;-0.0123;
2.400;0.0040;0.0410;
2.420;0.0040;0.0410;
2.440;0.0023;0.0041;
2.460;0.0023;0.0574;
2.480;0.0000;0.0615;
2.500;0.0000;0.0123;
2.520;0.0000;-0.0287;
2.540;0.0029;-0.0164;
2.560;0.0029;0.0369;
2.580;0.0034;0.0287;
2.600;0.0034;0.0041;
2.620;0.0034;0.0000;
2.640;0.0005;0.0000;
2.660;0.0005;-0.0041;
2.680;0.0023;0.0410;
2.700;0.0023;0.0410;
2.720;0.0023;-0.0082;
2.740;0.0076;0.0205;
2.760;0.0076;0.0697;
2.780;0.0003;0.0123;
2.800;0.0003;0.0451;
2.820;0.0003;0.0000;
2.840;0.0052;0.0656;
2.860;0.0052;0.0492;
2.880;-0.0006;0.0533;
2.900;-0.0006;0.0164;
2.920;-0.0006;-0.0451;
2.940;-0.0078;0.0205;
2.960;-0.0078;0.0410;
2.980;0.0060;-0.0123;
3.000;0.0060;0.0574;
3.020;0.0060;-0.0246;
3.040;0.0023;0.0123;
3.060;0.0023;0.0041;
3.080;-0.0044;0.0082;
3.100;-0.0044;0.0410;
3.120;-0.0044;0.0082;
3.140;0.0133;0.0574;
3.160;0.0133;0.0000;
3.180;0.0024;0.0082;
3.200;0.0024;0.0082;
3.220;0.0024;0.0328;
3.240;0.0041;0.0410;
3.260;0.0041;0.0697;
3.280;-0.0017;-0.0164;
